temperature,pressure,flow_rate,voltage,current,rpm,vibration,humidity,power_consumption,response_time,packet_size,command_frequency,error_rate,network_latency,label,industry
0.0059,107.19,74.67,223.14,9.05,0.0038,2.53,49.98,22.71,0.0094,498.6,0.0009,0.03,39.15,1,power_plant
67.35,160.48,90.81,223.4,0.0084,2038.41,3.55,52.39,0.0097,55.71,391.7,0.0001,0.03,26.58,1,power_plant
75.36,152.92,111.29,231.19,23.12,10800.0,32.18,37.1,37.88,48.09,404.08,12.9,0.0,28.53,1,power_plant
67.24,29.51,95.25,234.64,13.81,2016.23,2.4,51.06,71.55,170.09,577.85,10.43,0.04,30.21,1,power_plant
62.58,116.32,455.65,228.9,23.57,2583.89,3.09,58.24,35.31,70.92,472.55,12.03,0.03,207.71,1,power_plant
54.94,139.17,383.63,220.97,147.75,9875.3,2.16,34.91,23.61,64.05,2979.5,13.85,0.03,29.57,1,power_plant
51.74,163.34,53.27,237.0,19.69,1973.19,3.7,40.86,32.6,61.94,6089.0,99.6,0.582,854.1,1,power_plant
75.76,600.0,66.07,750.0,18.89,2004.87,19.11,63.97,150.0,40.72,322.85,10.14,0.03,34.1,1,power_plant
76.95,156.66,93.64,235.53,20.08,2510.42,1.67,47.69,176.0,279.47,831.07,14.88,0.2,29.57,1,power_plant
350.21,731.01,134.52,225.69,26.27,15962.71,3.06,39.08,161.82,56.08,581.67,11.48,0.19,9.28,1,power_plant
81.42,142.27,58.63,242.36,0.008,2104.99,3.34,0.0094,16.3,53.51,775.82,11.71,0.03,9.89,1,power_plant
298.84,141.44,76.47,229.42,19.18,2210.58,16.95,35.12,22.16,55.93,571.57,6.47,0.02,13.35,1,power_plant
64.83,163.45,96.33,230.21,19.91,2198.82,14.88,43.59,30.01,90.75,655.07,74.79,0.01,25.96,1,power_plant
81.47,151.44,3.0,236.76,20.34,400.0,47.11,37.51,22.39,63.03,461.43,12.13,0.02,25.22,1,power_plant
-5.98,336.99,-65.35,239.36,-2.09,1907.7,4.08,37.81,37.17,-93.77,422.08,7.27,0.04,29.86,1,power_plant
60.55,159.89,120.93,221.97,20.57,2184.7,3.06,39.6,33.63,55.01,4045.0,133.6,0.549,532.8,1,power_plant
56.41,5.0,99.93,228.28,14.49,1981.46,21.42,36.05,125.0,52.16,32.0,8.76,0.01,24.19,1,power_plant
81.2,157.4,118.47,240.85,0.0097,2333.63,3.66,40.99,20.09,29.38,0.0015,6.34,0.04,25.89,1,power_plant
76.43,177.83,101.96,232.01,13.42,5359.31,10.51,51.65,89.37,63.87,638.29,14.08,0.07,59.96,1,power_plant
81.62,166.77,726.48,240.48,14.26,2109.98,2.9,283.64,25.48,31.28,277.79,5.92,0.04,26.83,1,power_plant
71.28,-87.72,36.12,223.16,17.73,2513.9,7.87,54.76,-30.43,156.51,2327.43,6.99,0.01,30.24,1,power_plant
65.51,500.0,80.83,222.55,0.5,2894.38,21.69,175.0,24.41,73.46,636.26,10.27,0.04,33.89,1,power_plant
65.5,150.01,88.26,281.95,50.01,2206.8,2.45,50.47,41.57,56.8,669.73,14.74,0.02,74.46,1,power_plant
38.1,132.47,68.72,235.61,15.97,2302.41,2.66,34.27,25.2,62.17,4029.0,81.0,0.314,812.2,1,power_plant
44.68,178.72,3.23,192.43,42.86,-1493.27,7.26,23.92,20.78,77.26,235.73,6.58,0.02,-23.24,1,power_plant
59.43,500.0,91.08,239.35,11.74,2786.51,26.08,10.0,150.0,72.24,453.9,1.0,0.02,30.31,1,power_plant
65.35,158.81,79.96,232.01,12.08,1883.01,3.04,48.83,20.07,38.84,4641.0,93.4,0.4,679.4,1,power_plant
60.56,203.19,90.67,232.68,28.25,1718.6,3.61,51.12,31.62,71.79,6149.0,89.8,0.393,593.2,1,power_plant
85.19,180.01,62.1,246.05,23.57,2722.42,3.68,68.57,18.12,45.81,5690.0,131.8,0.348,919.4,1,power_plant
66.52,151.83,88.05,226.33,126.13,1215.69,2.81,46.26,184.44,74.85,3236.39,5.88,0.01,27.01,1,power_plant
63.46,196.75,87.55,233.34,13.66,1645.43,2.14,50.0,33.59,65.77,6614.0,89.4,0.479,869.0,1,power_plant
65.75,144.67,78.85,232.96,0.5,2475.2,42.35,44.84,23.53,300.0,669.31,13.43,0.02,26.92,1,power_plant
72.83,154.32,-51.37,229.52,20.93,2227.36,1.99,41.33,82.6,33.06,-588.21,10.44,0.02,106.06,1,power_plant
73.68,165.67,94.09,230.22,18.42,2297.05,12.95,34.82,189.36,54.92,584.15,97.72,0.02,33.87,1,power_plant
73.02,84.18,68.77,625.0,13.29,2193.23,19.72,51.7,45.14,43.86,2560.0,4.2,0.04,28.46,1,power_plant
57.87,145.7,79.35,0.0007,20.42,2154.36,1.71,50.47,34.83,0.0031,720.33,0.0092,0.02,0.0027,1,power_plant
90.96,148.78,98.96,244.45,18.41,2464.38,3.07,48.35,17.84,38.42,2378.0,157.2,0.872,589.1,1,power_plant
71.58,171.26,103.16,234.19,-0.8,2080.74,8.11,99.47,-41.1,38.78,-884.09,-17.36,0.04,32.6,1,power_plant
73.75,161.03,67.38,235.54,0.0087,1609.99,3.25,40.61,25.8,0.0074,462.71,10.1,0.02,19.4,1,power_plant
80.72,0.0089,75.72,221.84,12.27,0.0073,3.14,0.0024,42.37,66.29,597.88,5.81,0.03,33.79,1,power_plant
60.4,500.0,131.77,228.74,2.5,1752.72,30.7,41.84,27.95,250.0,6.4,5.88,0.02,40.93,1,power_plant
89.87,146.34,72.89,223.87,15.16,2647.17,3.72,35.65,18.69,41.92,3120.0,104.0,0.347,813.2,1,power_plant
58.57,153.3,108.59,241.94,17.71,2009.06,2.75,45.42,24.01,54.73,7140.0,158.2,0.337,205.6,1,power_plant
71.81,114.31,69.08,0.0085,15.6,2553.54,1.93,0.0057,26.79,58.44,546.57,10.39,0.03,34.96,1,power_plant
61.88,187.47,112.37,230.04,20.29,9000.0,34.63,46.09,125.0,68.54,564.98,7.05,0.0,2.5,1,power_plant
75.1,198.52,55.47,224.66,20.8,2114.01,2.11,42.81,19.39,45.75,6258.0,94.7,0.395,809.5,1,power_plant
57.14,134.64,90.74,0.005,0.0065,0.0038,0.0042,45.32,30.51,56.42,481.53,13.52,0.03,29.24,1,power_plant
59.54,187.03,96.09,269.92,-7.2,-2602.71,2.0,57.25,24.39,60.75,-819.97,6.31,0.03,33.35,1,power_plant
73.74,157.2,476.83,240.8,17.57,1213.61,3.47,286.42,33.31,100.0,610.16,15.65,0.04,179.19,1,power_plant
58.82,131.94,681.61,226.71,19.82,9511.14,2.3,34.22,18.15,52.36,664.67,12.03,0.03,23.16,1,power_plant
53.1,168.53,0.0078,228.04,0.0065,1843.95,0.0089,46.65,31.04,58.99,0.0055,4.36,0.03,36.65,1,power_plant
63.31,290.95,87.6,233.9,-9.77,5421.47,2.49,54.44,15.08,64.13,501.38,16.15,0.07,23.06,1,power_plant
64.2,5.0,105.91,232.76,13.52,1911.48,36.13,57.93,27.75,75.14,3072.0,10.39,0.03,35.17,1,power_plant
63.59,145.85,103.93,239.06,16.7,1926.16,4.18,45.74,37.63,55.45,3231.0,95.6,0.734,447.8,1,power_plant
66.68,170.23,0.0041,0.0057,18.96,1672.12,3.0,46.69,33.17,54.26,587.72,7.4,0.0079,34.71,1,power_plant
71.28,865.04,94.21,240.15,16.83,1556.86,2.97,48.7,36.56,59.96,3111.28,80.99,0.04,25.33,1,power_plant
60.88,5.0,3.0,225.34,14.38,80.0,38.78,39.45,0.5,58.15,461.9,7.46,0.02,24.51,1,power_plant
60.59,153.67,115.85,105.0,23.14,1324.08,38.33,40.79,26.55,62.35,685.18,60.0,0.15,36.03,1,power_plant
72.63,154.09,116.34,195.44,15.31,-935.25,6.31,0.63,72.55,87.85,562.19,6.86,0.02,-16.95,1,power_plant
69.07,158.56,70.33,220.84,20.06,1578.41,3.32,43.82,32.87,40.24,5340.0,108.9,0.308,504.4,1,power_plant
63.97,181.24,101.87,230.73,23.02,2677.7,1.97,44.62,25.54,72.05,4578.0,137.3,0.343,901.3,1,power_plant
81.55,177.02,78.09,244.35,10.01,1893.16,39.35,10.0,0.5,50.18,232.2,7.75,0.03,45.48,1,power_plant
69.51,821.82,86.49,230.03,24.09,2378.29,17.18,41.55,35.48,370.36,716.18,72.16,0.02,28.12,1,power_plant
72.91,164.19,75.81,235.75,52.56,1584.82,3.16,-16.85,14.95,48.25,-755.2,10.11,0.03,79.3,1,power_plant
63.28,184.21,122.43,233.9,24.14,80.0,41.83,42.25,17.73,25.07,494.8,11.03,0.12,0.5,1,power_plant
0.0064,170.57,0.007,244.51,13.94,0.0022,2.39,49.8,32.95,55.18,0.0066,10.52,0.03,26.85,1,power_plant
63.22,142.69,76.19,238.19,11.39,-367.49,-3.36,36.94,86.19,71.35,518.14,-7.31,0.03,17.2,1,power_plant
84.04,187.49,3.0,233.09,20.38,9000.0,26.62,43.09,150.0,35.93,547.46,7.8,0.03,23.79,1,power_plant
68.46,117.3,62.93,272.38,12.01,2439.85,-3.34,94.46,32.9,185.15,592.87,32.35,0.09,30.33,1,power_plant
65.0,161.64,104.56,0.007,13.4,2476.14,2.16,55.99,30.51,59.63,595.56,8.98,0.02,0.0071,1,power_plant
52.27,123.41,3.0,105.0,14.46,9000.0,47.03,39.29,28.11,49.87,758.76,12.73,0.0,24.2,1,power_plant
89.36,0.0081,96.22,232.56,15.82,2259.79,1.03,0.0093,0.0063,0.009,543.1,15.91,0.02,36.88,1,power_plant
129.46,-41.54,-35.57,227.78,-21.13,2526.09,3.43,45.83,30.7,155.32,637.61,-16.87,0.02,28.69,1,power_plant
4.08,49.44,105.66,225.14,14.27,3144.98,2.47,57.46,40.3,49.8,639.98,12.4,-0.02,-15.06,1,power_plant
83.42,113.94,106.44,282.66,20.27,1128.49,-1.1,-16.11,33.93,74.12,344.65,12.71,0.03,26.63,1,power_plant
2.0,162.38,93.18,236.42,14.3,2732.55,40.83,42.24,2.5,43.9,499.55,6.85,0.01,0.5,1,power_plant
72.18,25.0,15.0,233.15,2.5,2418.56,38.34,51.16,23.68,67.91,524.71,13.48,0.03,34.26,1,power_plant
67.17,144.97,81.6,0.0065,12.74,0.001,0.0098,51.22,31.14,44.61,311.5,12.42,0.03,31.28,1,power_plant
2.0,175.21,79.11,234.53,20.11,80.0,32.82,50.48,16.82,62.98,632.71,0.5,0.03,32.53,1,power_plant
60.62,159.29,138.5,219.84,11.85,1784.43,12.77,41.0,210.68,43.81,620.67,10.83,0.04,19.07,1,power_plant
77.76,557.06,63.6,229.48,140.87,941.9,3.34,302.69,20.45,48.98,5095.39,17.39,0.13,28.86,1,power_plant
137.6,43.17,284.31,228.73,14.56,2397.57,7.8,-30.73,22.43,76.82,114.02,6.35,0.03,38.51,1,power_plant
59.44,158.39,89.77,229.24,17.48,80.0,16.53,44.48,25.45,56.62,588.69,50.0,0.03,22.4,1,power_plant
65.3,133.83,121.42,215.68,19.11,2594.49,3.9,40.13,13.45,71.13,4420.0,143.4,0.507,825.6,1,power_plant
64.4,641.05,118.64,227.82,22.76,11447.09,13.95,47.63,29.85,55.26,683.09,13.14,0.02,217.4,1,power_plant
64.08,181.97,103.48,232.83,19.92,1965.06,2.77,41.45,15.13,46.03,2438.0,87.4,0.817,354.0,1,power_plant
66.3,175.41,112.44,230.63,14.71,2828.68,2.72,52.57,25.16,58.54,4341.0,157.6,0.596,875.7,1,power_plant
67.06,138.69,94.01,235.52,21.74,2225.3,1.15,37.84,28.19,46.36,7333.0,136.8,0.832,869.2,1,power_plant
0.0096,0.0017,108.01,0.0049,16.88,2758.6,3.07,54.86,17.43,50.46,480.59,15.8,0.02,33.07,1,power_plant
0.0029,144.76,112.89,0.0017,10.17,0.0044,1.55,51.73,19.24,61.39,435.39,2.64,0.03,30.9,1,power_plant
414.17,194.75,104.96,218.77,13.94,2141.02,13.27,36.71,31.19,48.87,400.86,15.7,0.17,23.45,1,power_plant
64.43,162.9,75.36,706.11,15.43,9488.77,3.88,55.06,41.92,329.5,880.4,9.43,0.02,28.05,1,power_plant
69.1,155.59,108.58,236.53,16.82,2406.22,1.31,46.41,30.28,55.78,2732.0,89.7,0.542,767.8,1,power_plant
82.61,25.0,50.95,225.16,20.08,2221.69,16.64,36.64,125.0,90.53,3072.0,7.64,0.02,125.0,1,power_plant
2.0,179.46,3.0,235.81,17.1,1754.51,45.78,27.41,16.97,64.03,3072.0,60.0,0.02,21.23,1,power_plant
80.23,600.0,122.71,221.8,14.65,9000.0,36.57,50.17,30.78,48.82,679.55,10.81,0.03,33.04,1,power_plant
51.99,145.72,215.54,280.84,17.57,2552.43,1.85,50.25,-27.38,142.71,-797.56,4.51,0.03,30.02,1,power_plant
75.85,141.21,86.17,231.82,0.5,2291.15,39.25,175.0,24.48,60.39,32.0,5.68,0.03,0.5,1,power_plant
75.49,167.37,75.15,230.74,16.18,0.0029,0.0094,54.51,19.29,67.31,743.94,14.62,0.0076,0.0033,1,power_plant
78.19,25.0,104.39,105.0,23.8,2554.54,25.93,51.63,24.84,53.36,504.1,10.22,0.0,32.39,1,power_plant
66.49,148.42,73.49,750.0,20.47,80.0,37.13,62.64,24.08,49.89,32.0,8.57,0.02,43.05,1,power_plant
2.0,167.57,129.97,750.0,23.27,2492.04,42.79,45.13,150.0,66.58,846.72,9.69,0.03,15.58,1,power_plant
63.11,300.44,95.2,230.89,21.49,-1144.85,0.85,37.26,26.44,132.06,390.84,10.07,0.01,41.23,1,power_plant
71.41,500.0,102.05,625.0,18.36,1935.56,46.02,27.55,20.05,48.55,404.07,13.81,0.02,15.83,1,power_plant
50.75,181.17,94.01,105.0,12.98,9000.0,47.29,54.27,30.71,73.89,476.59,11.54,0.02,35.42,1,power_plant
104.37,169.3,105.82,231.42,19.3,1896.44,9.35,32.03,44.84,170.42,433.67,10.4,-0.04,23.35,1,power_plant
68.85,162.06,89.08,704.39,85.45,1506.59,21.55,45.14,20.73,56.74,4004.39,12.32,0.03,29.3,1,power_plant
136.52,339.7,91.83,242.26,16.96,-1138.83,3.09,48.04,29.37,-55.95,477.46,11.75,0.02,74.9,1,power_plant
58.41,178.79,114.29,218.48,18.1,2181.26,2.62,40.15,28.08,19.79,7419.0,195.8,0.397,815.6,1,power_plant
399.08,154.57,69.03,227.86,19.85,1571.38,3.23,254.68,31.86,84.06,676.54,12.21,0.22,30.72,1,power_plant
