temperature,pressure,flow_rate,voltage,current,rpm,vibration,humidity,power_consumption,response_time,packet_size,command_frequency,error_rate,network_latency,label,industry
68.69,181.23,74.19,240.12,24.41,2165.03,1.58,46.95,10.87,75.72,449.14,7.14,0.02,29.32,0,power_plant
85.94,95.82,72.75,234.62,14.01,2647.4,3.18,49.62,33.28,58.81,559.07,8.87,0.03,29.39,0,power_plant
83.15,136.65,87.45,239.21,23.76,1587.89,2.75,43.44,25.77,55.47,726.56,11.7,0.03,23.9,0,power_plant
68.44,136.25,117.48,228.3,22.9,2508.8,4.0,55.89,19.42,65.89,506.86,6.47,0.03,28.83,0,power_plant
87.91,178.51,88.05,224.32,17.39,2508.66,3.55,41.92,21.45,60.19,363.14,13.51,0.01,29.1,0,power_plant
63.82,115.43,106.63,229.91,19.17,1844.08,2.59,46.8,31.8,40.49,484.1,8.24,0.02,18.94,0,power_plant
83.42,141.47,88.81,234.46,18.12,2424.12,2.65,35.97,36.55,47.09,637.22,15.22,0.01,22.58,0,power_plant
51.08,112.96,102.55,224.86,13.41,1654.43,3.22,36.15,24.79,47.56,1007.2,9.87,0.02,22.34,0,power_plant
72.69,136.2,89.11,228.9,13.94,2369.93,2.13,61.67,42.13,33.85,829.62,6.65,0.03,15.15,0,power_plant
75.56,140.55,89.52,223.43,23.84,2319.0,3.97,37.15,26.2,20.33,574.93,9.73,0.02,25.32,0,power_plant
69.44,192.69,137.89,225.96,17.21,1840.77,3.05,39.26,44.17,50.86,831.29,15.16,0.03,29.27,0,power_plant
78.16,161.23,55.92,223.82,11.02,1488.04,3.1,22.88,26.06,49.71,576.75,8.43,0.01,39.52,0,power_plant
65.09,128.45,83.94,232.16,20.09,2416.03,3.39,47.62,30.22,32.33,888.24,13.96,0.03,29.91,0,power_plant
71.12,161.97,121.81,225.05,19.56,3057.0,1.6,43.98,16.64,59.93,572.9,10.92,0.03,23.36,0,power_plant
78.11,175.05,82.88,226.88,18.56,1601.14,3.11,47.38,38.67,59.35,522.97,1.0,0.02,19.35,0,power_plant
65.45,161.54,88.18,217.16,13.53,1967.83,3.33,46.43,33.37,41.48,401.44,13.86,0.03,35.18,0,power_plant
87.82,176.47,89.16,246.27,22.09,2498.9,3.07,42.83,19.56,36.07,252.88,9.0,0.03,34.7,0,power_plant
78.0,171.52,66.75,226.67,16.17,2308.69,2.68,32.07,21.16,63.8,651.85,8.05,0.03,20.91,0,power_plant
79.35,153.64,97.63,230.94,17.93,1352.93,2.74,35.75,26.91,68.39,452.84,7.2,0.0,35.19,0,power_plant
63.99,160.31,59.07,234.4,20.35,3570.47,2.56,41.58,26.38,69.73,657.78,13.55,0.01,35.5,0,power_plant
58.08,206.1,141.83,247.38,20.56,1882.3,3.02,50.13,16.48,45.95,343.45,16.79,0.03,29.07,0,power_plant
64.13,116.16,63.19,227.24,16.69,2943.74,3.17,55.28,25.26,75.01,766.69,6.0,0.0,32.22,0,power_plant
64.53,176.05,102.84,223.23,13.24,2504.89,1.02,45.84,38.11,44.48,611.11,14.64,0.03,30.48,0,power_plant
82.95,152.44,105.14,238.93,24.64,1896.92,3.29,51.18,25.98,59.69,886.36,14.13,0.02,27.77,0,power_plant
53.07,102.36,67.18,238.17,12.83,2933.08,2.18,53.4,10.41,45.61,522.71,13.16,0.03,23.55,0,power_plant
56.63,163.09,76.89,235.94,12.2,2756.74,4.11,62.83,43.61,56.0,653.54,12.12,0.02,28.98,0,power_plant
57.5,186.55,104.53,240.13,18.62,1737.8,1.53,41.68,11.86,31.47,573.69,11.84,0.03,22.53,0,power_plant
63.16,165.48,70.13,234.75,12.84,3072.47,1.95,43.89,18.94,23.13,533.88,10.11,0.02,17.98,0,power_plant
69.36,159.09,93.7,237.33,18.09,2394.64,3.43,40.33,28.39,71.51,691.61,11.76,0.03,32.52,0,power_plant
74.02,167.82,71.72,240.0,16.69,1974.37,2.64,34.97,37.77,62.72,496.23,11.28,0.03,27.98,0,power_plant
58.33,195.48,83.08,229.6,17.55,1842.64,2.17,40.45,28.04,31.83,494.34,10.16,0.03,35.38,0,power_plant
66.48,145.6,102.07,229.68,25.22,2223.44,3.4,43.49,23.87,73.41,435.9,12.62,0.03,39.22,0,power_plant
58.81,138.22,81.26,226.18,11.06,3208.81,1.84,31.64,31.11,53.22,567.54,11.08,0.04,32.42,0,power_plant
73.49,214.07,85.46,222.63,12.27,2541.95,1.9,40.61,31.93,67.51,492.71,4.74,0.02,20.59,0,power_plant
70.81,168.56,75.68,231.01,11.98,1980.24,2.42,46.92,23.74,53.91,388.09,9.37,0.04,33.26,0,power_plant
68.51,175.97,74.85,221.31,25.06,2082.65,4.2,50.05,14.51,68.12,744.09,11.83,0.02,18.44,0,power_plant
